Catalogue Number,De la Faille number,Title,Date,Area,BaSO4,CaCO3,Gypsum,Lead white,Zinc white,Cobalt,French ultramarine,Prussian blue,Cerulean blue,Indigo,Cobalt violet,Purple lake,Emerald green,Viridian,Chrome yellow or orange,Naples yellow,Zinc yellow,Cadmium yellow or orange,Unidentified yellow lake,Vermilion,Minium,Cochineal lake,Kopps purpurin lake,Redwood lake,Madder lake,Unidentified red lake,Carbon black/brown,Bone black,Charcoal black,Umber,Iron oxide pigments
94,292,Boulevard de Clichy,March-mid April 1887,Paris,,,,X,X,X,,,,X,X,,,,,,,,,,X,X,X,,,,,,,,
95,341,View from Theo?s apartment,End March-mid April 1887,Paris,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
96,369,Portrait of L‚onie Rose Charbuy-Davy,March-April 1887,Paris,X,,,X,X,X,X,,,,,,X,X,Y,,,,,X,,,X,,,,X,,,,
97,267,Self portrait,March-June 1887,Paris,X,,,X,X,,,,,,,,,X,,,,,,,X,,,,,X,,,,,
98,356,Self portrait,March-June 1887,Paris,,,,X,X,,X,,,,,,,X,,,,,,,X,,,,,,,,,,
99,293,Banks of the Seine,May-July 1887,Paris,X,,X,,,,,,,,,,X,,Y,,,,,,,,,,,,,,,,
100,299,Along the Seine,May-June 1887,Paris,X,,,X,X,X,X,,,,,,,,,,,,,X,,X,X,,,,,,,,
101,297a,Skull,May-June 1887,Paris,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,
102,297,Skull,May-June 1887,Paris,,,,X,,,,,,,,,,,Y,,X,,,,,,,,,,,,,,
103,275,Garden in Montmartre at sunset,First half of May 1887,Paris,X,,,X,X,X,X,,,,,X Unknown,X,,Y,,,,,X,X,,,,,X,,,,,
104,244,Basket with pansies on a table,May 1887,Paris,X,,,X,X,,X,,,,,,X,,,,,,,X,,X,X,,,,X,,,,
105,270a,Flowering horse chestnut,Mid May 1887,Paris,X,,X,X,X,,X,,,,,,X,,O,,,,,X,,,,,,,X,,,,X
106,314,Garden in Montmartre with lovers,Mid-late May 1887,Paris,X,X,X,X,X,X,X,,,,,,X,X,Y,,,,,X,X,X,X,,,,X,,,,
107,309,Woodland path,May-July 1887,Paris,X,,,X,X,,X,,,,,,X,,,,X,,,X,X,,,,,X,,,,,X
108,307,Woodland view,May-July 1887,Paris,X,X,,,,,,,,,,,X,,,,,,,X,X,,X,,,,,,,,
109,309a,Woodland view,May-July 1887,Paris,X,X,,X,X,,X,,X,,,,X,X,,,,,,,,X,X,,,,X,,,,
110,308,Woodland,July 1887,Paris,X,X,X,X,X,,X,X,,,,X Unknown,X,X,Y,,,,,X,X,X,,,,,,,,,X
111,310,Cornfield with partridge,Mid June-mid July 1887,Paris,X,,,X,X,X,X,X,,,,,X,,Y,,,,,X,X,,,,,X,X,,X,,
112,304,The bridge of Courbevoie,June-July 1887,Paris,,,,X,,,X,,,,,,,,,,,,,X,X,X,,,,,,,,,
113,321,Before a restaurant in AsniŠres,Mid May-mid June 1887,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,179v,Self portrait with straw hat,Mid July-August 1887,Paris,,,,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,
115,269v,Self portrait,Mid July-August 1887,Paris,X,,,X,,,X,,,,,,X,X,,,,,,,,,,,,X,,,,,
116,61v,Self portrait with straw hat,Mid July-August 1887,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,109v,Self portrait,Mid July-August 1887,Paris,,,,,X,,,X,,,,,X,X,,,,,,X,,,,,,,,,,,
118,77v,Self portrait,Mid July-August 1887,Paris,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,
119,294,Portrait of Theo van Gogh,Summer 1887,Paris,X,,,X,X,X,X,X,,,,,,X,,,,,,X,,,,,,X,,,,,
